id,product_id,user_id,author_name,rating,title,body,created_at
d56fd370-3fba-4afc-9dfd-b4f4b272c1b5,9f1fcba9-eb09-470d-ab4c-bcc2850c9f3b,,Priya M.,5,Beautiful!,Fabric and stitching are top-notch. Definitely ordering again.,2026-05-30 23:57:48.284068+00
3840eab3-49c5-413c-9747-7abcfc6f958a,fdeb6aa4-f82b-4495-ad98-890ae45a1f6c,,Priya M.,5,Beautiful!,Fabric and stitching are top-notch. Definitely ordering again.,2026-05-30 23:57:48.284068+00
38d101cb-6318-4c82-a55d-82f75243573f,f2b6742b-17b1-45f1-9055-adff32e115cd,,Priya M.,5,Beautiful!,Fabric and stitching are top-notch. Definitely ordering again.,2026-05-30 23:57:48.284068+00
36b00fe3-5dbc-46e8-8fb0-6809667a781b,bdc07a4c-5236-4786-97c5-31d55e6b7e5d,,Priya M.,5,Beautiful!,Fabric and stitching are top-notch. Definitely ordering again.,2026-05-30 23:57:48.284068+00
7ae4a509-efe1-4fbe-ad59-b7f1b3935b26,8cb8b655-695e-49d5-97de-03ee368eb751,,Priya M.,5,Beautiful!,Fabric and stitching are top-notch. Definitely ordering again.,2026-05-30 23:57:48.284068+00
04858305-662d-4db6-90db-780b3df63478,e0630480-265f-42b5-b656-e76d7cd08ec6,,Priya M.,5,Beautiful!,Fabric and stitching are top-notch. Definitely ordering again.,2026-05-30 23:57:48.284068+00
04096db8-1471-4864-a6e5-448aceadd7fc,bb0014fe-2336-4ec9-9135-2a9d8366bc83,,Aarav S.,4,Loved it,"Premium feel, delivery was on time. Recommended.",2026-05-30 23:57:48.322031+00
2b0e8c2d-c5ac-42c8-9906-96857fbcf9f9,a8b6918e-55bb-4324-ac65-e207ee270e35,,Aarav S.,4,Loved it,"Premium feel, delivery was on time. Recommended.",2026-05-30 23:57:48.322031+00
89f2fbf1-0642-4929-96f7-ed78d8407a38,4dee7945-de7f-4283-b05e-15d71cb0741c,,Aarav S.,4,Loved it,"Premium feel, delivery was on time. Recommended.",2026-05-30 23:57:48.322031+00
34a5b6e8-9136-4839-ad00-37978a25362c,15a59524-6423-436d-b410-55f310350096,,Aarav S.,4,Loved it,"Premium feel, delivery was on time. Recommended.",2026-05-30 23:57:48.322031+00
668c3c0a-cbb6-4fc2-b5be-97c93ff435b3,a862c7d4-b9ee-48ec-be3e-d76b3c4997bf,,Aarav S.,4,Loved it,"Premium feel, delivery was on time. Recommended.",2026-05-30 23:57:48.322031+00
9826486b-e3b2-4304-a030-e62d0d935beb,009acc0a-6bef-4d9b-b743-d326a6cdbdef,,Aarav S.,4,Loved it,"Premium feel, delivery was on time. Recommended.",2026-05-30 23:57:48.322031+00
