id,product_id,size,color,stock_qty
1d20154c-97a2-42f9-8c06-506412bc8e0b,fb2edc9b-7885-44bf-b684-91bfd516c98e,S,,100
31a90b9c-de8d-46eb-b96e-714545ede077,fb2edc9b-7885-44bf-b684-91bfd516c98e,M,,100
1cccd627-6faf-450c-8f39-f35dddb62bf2,fb2edc9b-7885-44bf-b684-91bfd516c98e,L,,100
f991c6a8-3da3-4b7b-b3fc-d697eb5d9d86,fb2edc9b-7885-44bf-b684-91bfd516c98e,XL,,100
05c7f02a-1c65-4dfb-8734-8d18e30ad040,fb2edc9b-7885-44bf-b684-91bfd516c98e,XXL,,100
99a0ab95-6450-4ccc-bc19-a35fe973cc52,2d8fa254-280a-4205-82f8-62d67198eb90,S,,100
30543576-b65d-407d-a9f2-f6962b5b6e8a,2d8fa254-280a-4205-82f8-62d67198eb90,M,,100
cac61c1f-6903-40b3-9d6e-c19a47e5ab93,2d8fa254-280a-4205-82f8-62d67198eb90,L,,100
12501d05-bdaf-4169-bd56-f908a3181a5d,2d8fa254-280a-4205-82f8-62d67198eb90,XL,,100
2f7a12f0-3567-4153-a382-8051c7fd7b4b,2d8fa254-280a-4205-82f8-62d67198eb90,XXL,,100
9985e487-987f-4303-a442-d87330a8f2fa,7c6b8f04-f306-4f1e-9701-d0082d471835,S,,100
76243fae-15e1-4c75-a4a9-5980796713c6,7c6b8f04-f306-4f1e-9701-d0082d471835,M,,100
b0b22819-a8b4-4d8c-bd73-8cb712ac2d9f,7c6b8f04-f306-4f1e-9701-d0082d471835,L,,100
f76522f5-e0a6-4e33-a600-96e0b79f11f8,7c6b8f04-f306-4f1e-9701-d0082d471835,XL,,100
f9aab704-854f-496c-bd72-131d9bf22f37,7c6b8f04-f306-4f1e-9701-d0082d471835,XXL,,100
f901c3af-2031-4e49-924d-c6488b3a9d0d,8ca0aaa3-3679-420f-b500-e766bdcfa88e,S,,100
40fa4721-bab7-4763-8c5f-73a74ebf65b8,8ca0aaa3-3679-420f-b500-e766bdcfa88e,M,,100
82f3f569-9536-4601-800d-7c25a741563c,8ca0aaa3-3679-420f-b500-e766bdcfa88e,L,,100
c0873a93-c2ab-45aa-b9a8-14680a2e861a,8ca0aaa3-3679-420f-b500-e766bdcfa88e,XL,,100
e4c2b31d-a8d3-4805-bd21-570717a3a16c,8ca0aaa3-3679-420f-b500-e766bdcfa88e,XXL,,100
96d4972b-f042-46b3-b42d-b2ec9c5ede65,93cf28f9-afd8-4832-a3a4-4accebe15f07,S,,100
c56f9bfe-067c-49ce-87c8-f2760fa72c95,93cf28f9-afd8-4832-a3a4-4accebe15f07,M,,100
2ee13eff-dda4-4394-b795-a9439164749f,93cf28f9-afd8-4832-a3a4-4accebe15f07,L,,100
469e6868-6ba2-4833-90d4-8ede53d847cc,93cf28f9-afd8-4832-a3a4-4accebe15f07,XL,,100
9852c7cf-f006-4902-9409-9d257a42cf81,93cf28f9-afd8-4832-a3a4-4accebe15f07,XXL,,100
e9d574f5-983c-4fa3-8e17-00b29158c073,5ab3f4e1-7318-4345-ab27-f9ee0287a7ce,S,,100
b01b53cf-0734-477d-8b17-5613f2664b4e,5ab3f4e1-7318-4345-ab27-f9ee0287a7ce,M,,100
d1f49d3d-5678-486f-8a21-8c3fb98e8645,5ab3f4e1-7318-4345-ab27-f9ee0287a7ce,L,,100
1b0653bc-0be0-494c-b8e4-78cb432d86d5,5ab3f4e1-7318-4345-ab27-f9ee0287a7ce,XL,,100
2e1fe235-9168-4504-8514-75c942572f91,5ab3f4e1-7318-4345-ab27-f9ee0287a7ce,XXL,,100
de676f9d-fa58-4e37-8cf9-513ae4c2a099,99975a00-3c48-49db-9fd1-7e998950468f,S,,100
dce5561b-98f6-4dcd-9c0f-da6d09b36ea8,99975a00-3c48-49db-9fd1-7e998950468f,M,,100
8577385b-ddb5-4ad8-8e53-07f966a5c78e,99975a00-3c48-49db-9fd1-7e998950468f,L,,100
74be6598-1610-428e-a8d4-216ce7c5685a,99975a00-3c48-49db-9fd1-7e998950468f,XL,,100
1280a7e5-beee-4f94-a116-299b70323001,99975a00-3c48-49db-9fd1-7e998950468f,XXL,,100
dabc7246-6c07-4afc-9979-2c4edd9ede75,8b0ee641-7ff9-4596-99fd-7e1c6491dc17,S,,100
3ec53734-ca06-4cb3-a794-b885be73ffdc,8b0ee641-7ff9-4596-99fd-7e1c6491dc17,M,,100
0ede208c-5a69-4c07-9047-45cae2d1f9d8,8b0ee641-7ff9-4596-99fd-7e1c6491dc17,L,,100
59f6e7bf-59ae-4c00-8bb4-80304d76f182,8b0ee641-7ff9-4596-99fd-7e1c6491dc17,XL,,100
08899f0d-d8a6-454e-9850-e358b5482792,8b0ee641-7ff9-4596-99fd-7e1c6491dc17,XXL,,100
5ec1f0a5-c48b-4565-a848-4c4fbc3d971f,4e5c5b08-9e27-4e16-a7b5-811833bf251b,S,,100
ba0ce6d0-4e69-4f5e-8faa-0ae063faf559,4e5c5b08-9e27-4e16-a7b5-811833bf251b,M,,100
2dbf0932-7c3a-408a-8c74-81f5826a8adc,4e5c5b08-9e27-4e16-a7b5-811833bf251b,L,,100
886ac781-163f-4e30-89c3-b430376fa227,4e5c5b08-9e27-4e16-a7b5-811833bf251b,XL,,100
d643e476-377d-4303-8022-4378e02fc762,4e5c5b08-9e27-4e16-a7b5-811833bf251b,XXL,,100
e94ec0d0-4446-4bc8-a225-2536f700838a,38f5a626-5204-4645-a02a-43d4436868cc,S,,100
22fabee1-2afa-455e-86d0-9a9685368dd5,38f5a626-5204-4645-a02a-43d4436868cc,M,,100
1f7f0dc8-ec7d-4b66-93ee-ef22c0a81b57,38f5a626-5204-4645-a02a-43d4436868cc,L,,100
604a6d2d-edf3-420f-9659-bf4b9889c484,38f5a626-5204-4645-a02a-43d4436868cc,XL,,100
177d6a8e-9961-495b-83fb-c16e60d4fcb4,38f5a626-5204-4645-a02a-43d4436868cc,XXL,,100
884ead39-8b5e-4a6a-983e-ed8f8976f880,6be7ad12-457a-44cf-ab3d-726bc4642505,S,,100
e6e5140a-37c0-4069-a516-9e42926b293b,6be7ad12-457a-44cf-ab3d-726bc4642505,M,,100
57992303-ca4c-420d-bbe9-4afe6c15b621,6be7ad12-457a-44cf-ab3d-726bc4642505,L,,100
f84ab887-ee00-4052-afb5-8ac16895525b,6be7ad12-457a-44cf-ab3d-726bc4642505,XL,,100
cce85cb4-d7ae-4408-ab30-1b34bb12ff8f,6be7ad12-457a-44cf-ab3d-726bc4642505,XXL,,100
794448a4-bcbf-4447-9a17-2d7b1c75c02a,55c47d09-293f-4c52-bf0a-a20aad64533a,S,,100
43c3e04c-01d9-428a-8075-fc02a6d99b1a,55c47d09-293f-4c52-bf0a-a20aad64533a,M,,100
560390f6-8e27-4182-968e-e89a889db733,55c47d09-293f-4c52-bf0a-a20aad64533a,L,,100
042b2a35-2d13-46c6-a106-d295fbf16fe2,55c47d09-293f-4c52-bf0a-a20aad64533a,XL,,100
8c2c5f29-e295-426b-9ca4-fb2a9aee2bc4,55c47d09-293f-4c52-bf0a-a20aad64533a,XXL,,100
76edf09f-353b-4a6c-baac-c600f0415577,17556957-7849-4973-9425-fa6f579bbbb8,S,,100
823db275-d089-43ec-a3b9-e85ea7326805,17556957-7849-4973-9425-fa6f579bbbb8,M,,100
1a06147e-7f64-4ca4-86e0-e404ce03c78e,17556957-7849-4973-9425-fa6f579bbbb8,L,,100
a087a361-3f55-4b94-8e8b-fc7aa856f59b,17556957-7849-4973-9425-fa6f579bbbb8,XL,,100
8e17a2e7-4291-4169-b0b3-8f78cea185b3,17556957-7849-4973-9425-fa6f579bbbb8,XXL,,100
